strategy,family,score,dev_sharpe,holdout_sharpe,dev_cagr,holdout_cagr,max_drawdown,calmar,psr,annual_turnover,top_name_share,stability,degradation,fails_pre_ai_rally,stressed_sharpe,cost_fragile,verdict
"MultiHorizonMomentum(basket=None,horizons=63,126,252,min_agree=2,rebalance=ME,top_n=8,weighting=inverse_vol)",factor,4.459,0.74,2.03,0.2566,0.9436,-0.966,0.27,1.0,14.67,0.07,0.62,0.0,False,0.6946540805811997,False,rejected
"CapWeightUniverse(basket=None,max_weight=0.25,rebalance=QE)",benchmark,4.446,0.72,1.72,0.2475,0.6512,-0.98,0.25,1.0,3.97,0.14,0.62,0.0,False,0.7050587993598063,False,benchmark
"XSMomentumTopN(basket=None,lookback_days=126,rebalance=ME,skip_days=21,top_n=5,weighting=inverse_vol)",xsmom,4.41,0.71,2.01,0.2558,1.0275,-0.956,0.27,1.0,16.04,0.08,0.62,0.0,False,0.6592698317149643,False,rejected
"ValuationAwareGrowth(history_days=756,max_ps_own_pct=0.7,rebalance=QE,top_n=8)",fundamental,4.387,0.69,1.85,0.2308,0.7856,-0.948,0.24,1.0,7.27,0.09,0.62,0.0,False,0.6647707726409438,False,rejected
"EqualRiskContribution(basket=target_holdings,cov_window=252,max_weight=0.25,rebalance=ME)",allocation,4.37,0.73,1.73,0.2356,0.5704,-0.935,0.25,1.0,4.63,0.24,0.62,0.0,False,0.7130443126130634,False,rejected
BuyAndHold(ticker=SMH),benchmark,4.365,0.3,2.01,0.0788,0.6473,-0.863,0.09,0.994,0.03,1.0,0.62,0.0,False,0.3043709495823662,False,benchmark
"EqualRiskContribution(basket=target_holdings,cov_window=126,max_weight=0.25,rebalance=ME)",allocation,4.349,0.71,1.76,0.2298,0.5921,-0.938,0.24,1.0,5.56,0.22,0.62,0.0,False,0.6920570532140119,False,rejected
"ResidualMomentum(basket=None,bench=QQQ,beta_window=252,lookback_days=126,rebalance=ME,skip_days=21,top_n=8)",factor,4.309,0.4,2.19,0.113,0.9461,-0.902,0.13,0.999,10.31,0.09,0.62,0.0,False,0.3666914276533717,False,rejected
"XSMomentumTopN(basket=None,lookback_days=126,rebalance=ME,skip_days=21,top_n=5,weighting=equal)",xsmom,4.293,0.72,1.95,0.2614,1.0048,-0.961,0.27,1.0,15.49,0.08,0.62,0.0,False,0.661965407938389,False,rejected
"SemisLeadership(fallback=IEF,lookback_days=63)",regime,4.289,0.37,1.9,0.083,0.5784,-0.69,0.12,0.999,4.83,0.76,0.62,0.0,False,0.3415634424193091,False,rejected
"MLRankStrategy(alpha=10.0,horizon=21,min_train_years=5,rebalance=ME,refit_months=12,top_n=6)",ml,4.275,0.64,1.99,0.2085,1.0214,-0.951,0.22,1.0,13.79,0.07,0.62,0.0,False,0.5928442523819173,False,rejected
BuyAndHold(ticker=BOTZ),benchmark,4.261,0.41,1.73,0.0736,0.4709,-0.498,0.15,1.0,0.03,1.0,0.88,0.0,False,0.40963143376345323,False,benchmark
"DualMomentum(fallback=IEF,lookback_days=252)",tsmom,4.261,0.43,1.87,0.0974,0.575,-0.738,0.13,1.0,3.62,0.83,0.62,0.0,False,0.405700395923553,False,rejected
"ResearchIntensity(basket=None,rebalance=QE,require_profitable=True,top_n=10)",quality,4.246,0.63,1.73,0.1944,0.663,-0.943,0.21,1.0,6.63,0.07,0.75,0.0,False,0.6072152466808527,False,rejected
"EqualRiskContribution(basket=ai_broad,cov_window=252,max_weight=0.25,rebalance=ME)",allocation,4.246,0.75,1.66,0.2138,0.483,-0.9,0.24,1.0,5.15,0.09,0.62,0.0,False,0.7327423114349917,False,rejected
"ResearchIntensity(basket=None,rebalance=QE,require_profitable=False,top_n=10)",quality,4.246,0.63,1.73,0.1944,0.663,-0.943,0.21,1.0,6.63,0.07,0.75,0.0,False,0.6072152466808527,False,rejected
"EqualRiskContribution(basket=ai_broad,cov_window=126,max_weight=0.25,rebalance=ME)",allocation,4.21,0.75,1.72,0.2128,0.519,-0.909,0.23,1.0,7.46,0.08,0.62,0.0,False,0.7137500213091011,False,rejected
"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",longshort,4.204,0.57,1.62,0.0767,0.1997,-0.258,0.3,1.0,8.66,0.13,0.88,0.0,False,0.3944386541014779,False,rejected
"AccrualQuality(basket=None,rebalance=QE,top_n=15)",quality,4.168,0.62,1.73,0.1956,0.6542,-0.959,0.2,1.0,7.59,0.05,0.62,0.0,False,0.5895067324512362,False,rejected
"FundamentalAcceleration(basket=None,rebalance=QE,require_positive_growth=True,top_n=8)",factor,4.127,0.91,1.55,0.3173,0.6369,-0.868,0.37,1.0,7.7,0.06,0.62,0.0,False,0.8785780062369549,False,rejected
"XSRiskAdjMomentum(lookback_days=126,rebalance=ME,top_n=5)",xsmom,4.124,0.6,1.78,0.2012,0.8237,-0.949,0.21,1.0,15.92,0.09,0.62,0.0,False,0.5483646198051989,False,rejected
"DualMomentum(fallback=IEF,lookback_days=126)",tsmom,4.099,0.51,1.66,0.1163,0.499,-0.692,0.17,1.0,4.78,0.67,0.62,0.0,False,0.4801011916773443,False,rejected
"LowVolatilityTech(basket=None,rebalance=ME,top_n=10,trend_filter=True,vol_window=126)",factor,4.095,0.78,1.73,0.2396,0.5307,-0.845,0.28,1.0,10.17,0.09,0.62,0.0,False,0.7356722233092408,False,rejected
"MinCorrelationSleeve(basket=None,corr_window=252,rebalance=QE,top_n=15)",allocation,4.071,0.7,1.69,0.2296,0.6607,-0.976,0.24,1.0,6.93,0.05,0.62,0.0,False,0.676115601749137,False,rejected
"DualMomentum(fallback=IEF,lookback_days=63)",tsmom,4.069,0.53,1.64,0.1191,0.4781,-0.712,0.17,1.0,6.95,0.64,0.75,0.0,False,0.4885906759337032,False,rejected
"GrossProfitability(basket=None,min_history_q=8,rebalance=QE,top_n=12)",quality,4.043,0.63,1.77,0.1957,0.6823,-0.96,0.2,1.0,8.87,0.05,0.62,0.0,False,0.5991053598174797,False,rejected
"XSMomentumTopN(basket=ai_broad,lookback_days=126,rebalance=ME,skip_days=21,top_n=20,weighting=equal)",xsmom,4.037,0.74,1.8,0.2404,0.7009,-0.888,0.27,1.0,10.06,0.07,0.62,0.0,False,0.7072853382083943,False,rejected
BuyAndHold(ticker=SKYY),benchmark,4.0,0.61,1.47,0.1169,0.4168,-0.487,0.24,1.0,0.03,1.0,0.88,0.0,False,0.6092998281310269,False,benchmark
BuyAndHold(ticker=SUNW),benchmark,3.972,0.14,2.0,-0.0047,0.0446,-0.998,-0.0,0.889,0.05,1.0,0.75,0.0,False,0.13723228254745282,False,benchmark
"DonchianBreakout(entry_window=20,exit_window=20,max_positions=6,regime_filter=True)",breakout,3.966,0.28,1.87,0.0729,0.8399,-0.718,0.1,0.99,157.22,0.06,0.62,0.0,False,-0.3003431813657859,False,rejected
BuyAndHold(ticker=KLAC),benchmark,3.965,0.62,1.55,0.2434,0.9619,-0.926,0.26,1.0,0.03,1.0,0.75,0.0,False,0.6186870099463476,False,benchmark
"LowVolatilityTech(basket=None,rebalance=ME,top_n=10,trend_filter=False,vol_window=126)",factor,3.896,0.73,1.6,0.2103,0.4856,-0.904,0.23,1.0,6.99,0.11,0.62,0.0,False,0.7007606255995161,False,rejected
BuyAndHold(ticker=LU),benchmark,3.866,0.11,1.9,0.0116,0.0446,-0.998,0.01,0.882,0.05,1.0,0.88,0.0,False,0.11140730337160802,False,benchmark
"DonchianBreakout(entry_window=55,exit_window=20,max_positions=6,regime_filter=True)",breakout,3.863,0.21,1.94,0.0525,0.8776,-0.806,0.07,0.972,127.49,0.06,0.5,0.0,False,-0.2627115719149986,False,rejected
"RelativeStrengthVsBench(bench=QQQ,lookback_days=126,rebalance=ME,top_n=8)",xsmom,3.858,0.36,1.86,0.1005,0.8843,-0.945,0.11,0.997,10.31,0.12,0.62,0.0,False,0.3277877002846947,False,rejected
"LowVolatilityTech(basket=None,rebalance=ME,top_n=20,trend_filter=False,vol_window=126)",factor,3.856,0.76,1.51,0.2227,0.4416,-0.917,0.24,1.0,5.11,0.06,0.62,0.0,False,0.7402336371412732,False,rejected
BuyAndHold(ticker=SPLK),benchmark,3.855,0.65,1.39,0.2155,0.0446,-0.809,0.27,1.0,0.05,1.0,1.0,0.0,False,0.6499207614390546,False,benchmark
"GrossProfitability(basket=None,min_history_q=8,rebalance=QE,top_n=8)",quality,3.847,0.57,1.75,0.1761,0.7182,-0.971,0.18,1.0,9.93,0.06,0.62,0.0,False,0.5342779223771309,False,rejected
BuyAndHold(ticker=AAPL),benchmark,3.806,0.43,1.58,0.1338,0.7665,-0.926,0.14,0.999,0.03,1.0,0.75,0.0,False,0.43385330014026535,False,benchmark
BuyAndHold(ticker=ALTR),benchmark,3.729,0.09,1.93,-0.0234,0.0446,-0.999,-0.02,0.832,0.05,1.0,0.75,0.0,False,0.09424124251769278,False,benchmark
"RelativeStrengthVsBench(bench=QQQ,lookback_days=126,rebalance=ME,top_n=5)",xsmom,3.71,0.33,1.79,0.0893,0.9218,-0.948,0.09,0.993,11.29,0.15,0.62,0.0,False,0.2945524280964896,False,rejected
BuyAndHold(ticker=NXPI),benchmark,3.669,0.42,1.38,0.122,0.7935,-0.632,0.19,0.999,0.03,1.0,1.0,0.0,False,0.42368345362807763,False,benchmark
"XSMomentumTopN(basket=None,lookback_days=63,rebalance=ME,skip_days=21,top_n=5,weighting=equal)",xsmom,3.666,0.72,1.64,0.2617,0.7603,-0.966,0.27,1.0,20.38,0.08,0.62,0.0,False,0.6612507531195116,False,rejected
"AccrualQuality(basket=None,rebalance=QE,top_n=10)",quality,3.653,0.64,1.45,0.2081,0.5518,-0.967,0.22,1.0,9.03,0.06,0.75,0.0,False,0.6060425670551054,False,rejected
BuyAndHold(ticker=BRCM),benchmark,3.587,0.02,1.99,-0.0817,0.0446,-1.0,-0.08,0.683,0.05,1.0,0.75,0.0,False,0.021636826599446764,False,benchmark
"MinCorrelationSleeve(basket=None,corr_window=252,rebalance=QE,top_n=10)",allocation,3.579,0.63,1.5,0.2077,0.5988,-0.97,0.21,1.0,8.01,0.06,0.62,0.0,False,0.6071281523079659,False,rejected
"XSMomentumTopN(basket=None,lookback_days=63,rebalance=ME,skip_days=21,top_n=8,weighting=equal)",xsmom,3.553,0.75,1.56,0.2653,0.6424,-0.958,0.28,1.0,19.22,0.07,0.62,0.0,False,0.6922923971950973,False,rejected
BuyAndHold(ticker=IGV),benchmark,3.534,0.39,1.44,0.0963,0.3908,-0.587,0.16,0.999,0.03,1.0,0.62,0.0,False,0.3930464438731587,False,benchmark
BuyAndHold(ticker=CIBR),benchmark,3.526,0.39,1.37,0.0727,0.3752,-0.487,0.15,1.0,0.03,1.0,0.88,0.0,False,0.38950168005694297,False,benchmark
BuyAndHold(ticker=TSM),benchmark,3.521,0.54,1.36,0.1882,0.6829,-0.905,0.21,1.0,0.03,1.0,0.75,0.0,False,0.5414177758763372,False,benchmark
BuyAndHold(ticker=MPWR),benchmark,3.475,0.34,1.57,0.0885,1.0022,-0.964,0.09,0.992,0.03,1.0,0.75,0.0,False,0.3372361830358566,False,benchmark
"DonchianBreakout(entry_window=100,exit_window=20,max_positions=6,regime_filter=True)",breakout,3.304,0.24,1.63,0.0612,0.6877,-0.801,0.08,0.982,111.11,0.07,0.5,0.0,False,-0.16850250108789672,False,rejected
BuyAndHold(ticker=VGT),benchmark,3.283,0.5,1.24,0.1141,0.3108,-0.511,0.22,1.0,0.03,1.0,0.75,0.0,False,0.4985302306945886,False,benchmark
BuyAndHold(ticker=XLK),benchmark,3.195,0.35,1.32,0.086,0.3412,-0.83,0.1,0.998,0.03,1.0,0.75,0.0,False,0.3471105136617272,False,benchmark
"XSMomentumTopN(basket=None,lookback_days=63,rebalance=ME,skip_days=21,top_n=3,weighting=equal)",xsmom,3.191,0.62,1.45,0.2293,0.717,-0.979,0.23,1.0,21.08,0.08,0.62,0.0,False,0.5627358514368667,False,rejected
BuyAndHold(ticker=AMD),benchmark,3.142,0.1,1.74,-0.1344,1.6878,-1.0,-0.13,0.796,0.03,1.0,0.5,0.0,False,0.09634623957418036,False,benchmark
BuyAndHold(ticker=PWR),benchmark,3.087,0.28,1.46,0.0674,0.716,-0.939,0.07,0.983,0.03,1.0,0.5,0.0,False,0.2827974276273382,False,benchmark
BuyAndHold(ticker=SHOP),benchmark,3.072,0.27,1.38,0.0657,1.1597,-0.869,0.08,0.982,0.03,1.0,0.75,0.0,False,0.2722294337775241,False,benchmark
BuyAndHold(ticker=NOW),benchmark,3.072,0.48,1.16,0.1323,0.5814,-0.761,0.17,1.0,0.03,1.0,0.88,0.0,False,0.4780482570737488,False,benchmark
BuyAndHold(ticker=QQQ),benchmark,3.041,0.29,1.34,0.0722,0.3384,-0.831,0.09,0.995,0.03,1.0,0.62,0.0,False,0.29141288662054277,False,benchmark
BuyAndHold(ticker=PANW),benchmark,3.023,0.35,1.15,0.0909,0.593,-0.551,0.17,0.997,0.03,1.0,0.88,0.0,False,0.3474885555864096,False,benchmark
BuyAndHold(ticker=APP),benchmark,2.967,-0.12,1.82,-0.0315,2.6666,-0.951,-0.03,0.495,0.03,1.0,0.75,0.0,False,-0.11926369397258903,False,benchmark
BuyAndHold(ticker=JDSU),benchmark,2.939,0.31,1.29,0.0125,0.0446,-1.0,0.01,0.982,0.05,1.0,0.88,0.0,False,0.3086146518590866,False,benchmark
BuyAndHold(ticker=XLNX),benchmark,2.932,0.6,1.1,0.2276,0.0446,-0.88,0.26,1.0,0.05,1.0,0.75,0.0,False,0.599499954722672,False,benchmark
BuyAndHold(ticker=DDOG),benchmark,2.93,0.46,1.09,0.1189,0.6945,-0.744,0.16,1.0,0.03,1.0,0.88,0.0,False,0.4646942952777654,False,benchmark
BuyAndHold(ticker=OKTA),benchmark,2.835,0.12,1.34,0.0228,0.853,-0.914,0.02,0.905,0.03,1.0,0.88,0.0,False,0.12097977754574779,False,benchmark
"QQQMovingAverage(fallback=IEF,window=200)",benchmark,2.793,0.37,1.34,0.0756,0.3386,-0.6,0.13,0.992,13.51,0.9,0.62,0.0,False,0.28090320932841845,False,benchmark
BuyAndHold(ticker=TXN),benchmark,2.775,0.7,0.93,0.2627,0.3956,-0.957,0.27,1.0,0.03,1.0,0.75,0.0,False,0.6998731331201881,False,benchmark
BuyAndHold(ticker=SGI),benchmark,2.775,-0.09,1.84,-0.1213,0.0446,-1.0,-0.12,0.431,0.05,1.0,0.62,0.0,False,-0.0897271970431668,False,benchmark
BuyAndHold(ticker=SPY),benchmark,2.75,0.44,1.04,0.1022,0.2281,-0.662,0.15,1.0,0.03,1.0,0.62,0.0,False,0.4444208283004435,False,benchmark
BuyAndHold(ticker=VRT),benchmark,2.746,0.32,1.06,0.0798,0.6305,-0.656,0.12,0.998,0.03,1.0,0.88,0.0,False,0.32252092962275525,False,benchmark
BuyAndHold(ticker=INTU),benchmark,2.691,0.49,1.04,0.1591,0.4369,-0.892,0.18,1.0,0.03,1.0,0.62,0.0,False,0.4945659347945976,False,benchmark
BuyAndHold(ticker=TSLA),benchmark,2.666,0.45,1.06,0.1412,0.7487,-0.855,0.17,0.999,0.03,1.0,0.75,0.0,False,0.446173745068187,False,benchmark
"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=126,rebalance=ME,skip_days=21,top_n=15)",longshort,2.557,0.4,1.0,0.061,0.1342,-0.291,0.21,1.0,11.33,0.14,0.75,0.0,False,0.1863253751288145,False,rejected
BuyAndHold(ticker=WDAY),benchmark,2.549,0.44,0.91,0.1209,0.4498,-0.715,0.17,0.999,0.03,1.0,0.88,0.0,False,0.43714887758050264,False,benchmark
BuyAndHold(ticker=IWM),benchmark,2.507,0.26,1.02,0.0641,0.2426,-0.635,0.1,0.993,0.03,1.0,0.62,0.0,False,0.2615921385620073,False,benchmark
"XSMomentumTopN(basket=None,lookback_days=126,rebalance=ME,skip_days=21,top_n=3,weighting=equal)",xsmom,2.463,0.51,1.16,0.1735,0.5765,-0.98,0.18,1.0,16.56,0.13,0.62,0.0,False,0.4691788469126998,False,rejected
BuyAndHold(ticker=NET),benchmark,2.442,0.16,1.09,0.0389,0.7116,-0.878,0.04,0.95,0.03,1.0,0.88,0.0,False,0.15884682172023154,False,benchmark
BuyAndHold(ticker=MRVL),benchmark,2.427,0.35,1.03,0.0737,0.6188,-0.973,0.08,0.992,0.03,1.0,0.62,0.0,False,0.3473516571701152,False,benchmark
"ShortTermReversal(lookback_days=5,rebalance=W-FRI,top_n=5,trend_window=200)",meanrev,2.336,0.63,0.93,0.2166,0.3495,-0.937,0.23,1.0,80.38,0.05,0.62,0.0,False,0.4027596449529916,False,rejected
BuyAndHold(ticker=ARKK),benchmark,2.263,0.43,0.76,0.1055,0.2989,-0.661,0.16,1.0,0.03,1.0,0.88,0.0,False,0.42963826451350773,False,benchmark
BuyAndHold(ticker=PALM),benchmark,2.251,-0.23,1.73,-0.1586,0.0446,-0.999,-0.16,0.163,0.05,1.0,0.75,0.0,False,-0.22974844603462358,False,benchmark
BuyAndHold(ticker=ISRG),benchmark,2.249,0.39,0.74,0.1147,0.3097,-0.903,0.13,0.997,0.03,1.0,0.88,0.0,False,0.3927355436263504,False,benchmark
BuyAndHold(ticker=GOOGL),benchmark,2.167,0.51,0.68,0.1534,0.2703,-0.561,0.27,1.0,0.03,1.0,0.75,0.0,False,0.5085803964375886,False,benchmark
BuyAndHold(ticker=CRM),benchmark,2.098,0.38,0.82,0.1097,0.3984,-0.87,0.13,0.997,0.03,1.0,0.75,0.0,False,0.38194428907668143,False,benchmark
BuyAndHold(ticker=TTD),benchmark,2.094,0.23,0.88,0.0554,0.4934,-0.939,0.06,0.973,0.03,1.0,0.88,0.0,False,0.2318223498346534,False,benchmark
BuyAndHold(ticker=SNPS),benchmark,2.093,0.47,0.79,0.1495,0.3058,-0.965,0.15,0.999,0.03,1.0,0.62,0.0,False,0.4707256631557232,False,benchmark
"VolCompressionBreakout(entry_window=40,exit_window=20,max_positions=6,squeeze_pct=0.3)",breakout,1.995,0.56,1.27,0.1737,0.4857,-0.927,0.19,1.0,145.17,0.08,0.62,0.0,False,0.10061245394659626,True,rejected
BuyAndHold(ticker=ADI),benchmark,1.97,0.39,0.66,0.1123,0.2637,-0.892,0.13,0.997,0.03,1.0,0.75,0.0,False,0.3875875221928304,False,benchmark
BuyAndHold(ticker=YHOO),benchmark,1.934,0.25,0.88,0.0359,0.0446,-0.996,0.04,0.967,0.05,1.0,0.75,0.0,False,0.2467389364140201,False,benchmark
BuyAndHold(ticker=NT),benchmark,1.912,0.13,1.06,-0.0433,0.0446,-1.0,-0.04,0.862,0.05,1.0,0.62,0.0,False,0.12796055599848088,False,benchmark
BuyAndHold(ticker=MU),benchmark,1.873,0.35,0.78,0.0578,0.3987,-0.996,0.06,0.991,0.03,1.0,0.62,0.0,False,0.35186895171395677,False,benchmark
BuyAndHold(ticker=VMW),benchmark,1.87,0.26,0.81,0.0606,0.0446,-0.916,0.07,0.978,0.05,1.0,0.75,0.0,False,0.2549535676363705,False,benchmark
BuyAndHold(ticker=ZS),benchmark,1.859,0.31,0.55,0.0805,0.1892,-0.602,0.13,0.994,0.03,1.0,1.0,0.0,False,0.30980682895185924,False,benchmark
BuyAndHold(ticker=ATVI),benchmark,1.843,0.38,0.57,0.1096,0.0446,-0.939,0.12,0.996,0.05,1.0,0.88,0.0,False,0.3814408067599167,False,benchmark
BuyAndHold(ticker=NRG),benchmark,1.811,0.31,0.65,0.0812,0.2679,-0.828,0.1,0.991,0.03,1.0,0.88,0.0,False,0.30802364660123865,False,benchmark
"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=126,rebalance=ME,skip_days=21,top_n=10)",longshort,1.607,0.2,0.71,0.0456,0.1237,-0.385,0.12,0.998,13.76,0.2,0.62,0.0,False,0.0032625932046373837,False,rejected
BuyAndHold(ticker=ORCL),benchmark,1.602,0.39,0.62,0.1138,0.229,-0.988,0.12,0.998,0.03,1.0,0.62,0.0,False,0.3910070775907925,False,benchmark
BuyAndHold(ticker=CTXS),benchmark,1.422,0.37,0.59,0.0999,0.0446,-0.996,0.1,0.995,0.05,1.0,0.62,0.0,False,0.365149256864892,False,benchmark
BuyAndHold(ticker=VST),benchmark,1.282,0.16,0.42,0.0431,0.1445,-0.6,0.07,0.968,0.03,1.0,0.88,0.0,False,0.16033422605303652,False,benchmark
BuyAndHold(ticker=NFLX),benchmark,1.143,0.29,0.49,0.0618,0.1808,-0.891,0.07,0.983,0.03,1.0,0.5,0.0,False,0.2935008213953227,False,benchmark
BuyAndHold(ticker=DELL),benchmark,0.997,0.32,0.21,0.0729,0.0535,-0.562,0.13,0.998,0.03,1.0,0.88,0.11,False,0.31902989287541966,False,benchmark
BuyAndHold(ticker=WDC),benchmark,0.886,-0.03,0.72,-0.1462,0.3375,-0.999,-0.15,0.551,0.03,1.0,0.62,0.0,False,-0.028011330828452863,False,benchmark
BuyAndHold(ticker=ARM),benchmark,0.748,0.22,0.03,0.051,-0.1462,-0.27,0.19,0.999,0.03,1.0,1.0,0.19,False,0.22003068150304633,False,benchmark
BuyAndHold(ticker=CEG),benchmark,0.743,0.13,0.13,0.0382,0.0296,-0.505,0.08,0.994,0.03,1.0,0.88,0.0,False,0.12840969802518615,False,benchmark
BuyAndHold(ticker=TWTR),benchmark,0.716,0.05,0.38,-0.0083,0.0446,-0.916,-0.01,0.795,0.05,1.0,0.88,0.0,False,0.04969358091798259,False,benchmark
BuyAndHold(ticker=IBM),benchmark,0.583,0.33,0.16,0.0882,0.0428,-0.95,0.09,0.993,0.03,1.0,0.62,0.16,False,0.32677144147336123,False,benchmark
BuyAndHold(ticker=AMZN),benchmark,0.581,0.39,0.14,0.1114,0.0162,-0.971,0.11,0.997,0.03,1.0,0.75,0.25,False,0.3864761433520536,False,benchmark
BuyAndHold(ticker=SNOW),benchmark,0.421,0.13,0.16,0.0345,-0.0235,-0.863,0.04,0.942,0.03,1.0,0.75,0.0,False,0.12675889403762222,False,benchmark
"RSIReversion(entry=10,exit=60,max_positions=5,rsi_window=2,trend_window=200)",meanrev,0.38,0.2,0.34,0.0397,0.1091,-0.988,0.04,0.955,281.32,0.06,0.5,0.0,False,-0.6438233353862552,False,rejected
"RSIReversion(entry=5,exit=60,max_positions=5,rsi_window=2,trend_window=200)",meanrev,0.301,0.21,0.3,0.0406,0.0916,-0.987,0.04,0.956,279.16,0.06,0.5,0.0,False,-0.6370561766863115,False,rejected
BuyAndHold(ticker=HPE),benchmark,0.125,0.21,-0.04,0.0535,-0.0912,-0.67,0.08,0.977,0.03,1.0,0.88,0.26,False,0.21178821197052303,False,benchmark
BuyAndHold(ticker=CSCO),benchmark,0.116,0.67,-0.03,0.2609,-0.0506,-0.983,0.27,1.0,0.03,1.0,0.75,0.7,False,0.6743479458806124,False,benchmark
BuyAndHold(ticker=UBER),benchmark,-0.18,-0.11,0.18,-0.0182,-0.0247,-0.879,-0.02,0.562,0.03,1.0,0.75,0.0,False,-0.10564437951332188,False,benchmark
BuyAndHold(ticker=WCOM),benchmark,-0.268,0.01,-0.01,-0.0306,0.0446,-0.997,-0.03,0.704,0.05,1.0,0.88,0.02,False,0.008554008821311682,False,benchmark
BuyAndHold(ticker=RHT),benchmark,-0.559,0.08,-0.1,-0.0329,0.0446,-0.998,-0.03,0.805,0.05,1.0,0.75,0.18,False,0.078455893716517,False,benchmark
BuyAndHold(ticker=CRWD),benchmark,-0.599,0.37,-0.26,0.0921,-0.2184,-0.674,0.14,0.999,0.03,1.0,0.75,0.63,False,0.37140911739296906,False,benchmark
BuyAndHold(ticker=ASML),benchmark,-1.119,0.39,-0.36,0.1087,-0.1782,-0.894,0.12,0.996,0.03,1.0,0.5,0.75,False,0.38516631865237444,False,benchmark
BuyAndHold(ticker=SMCI),benchmark,-1.296,0.39,-0.49,0.1066,-0.4797,-0.895,0.12,0.997,0.03,1.0,0.88,0.88,False,0.3908510129842563,False,benchmark
BuyAndHold(ticker=JNPR),benchmark,-1.503,-0.18,-0.14,-0.2021,-0.09,-1.0,-0.2,0.229,0.05,1.0,0.5,0.0,False,-0.1757924876963053,False,benchmark
BuyAndHold(ticker=INTC),benchmark,-2.45,0.59,-0.83,0.2197,-0.3114,-0.875,0.25,1.0,0.03,1.0,0.5,1.42,False,0.592013873000551,False,benchmark
BuyAndHold(ticker=ADBE),benchmark,-3.086,0.44,-1.0,0.1377,-0.3509,-0.975,0.14,0.999,0.03,1.0,0.5,1.44,False,0.4400522379389947,False,benchmark
